Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 01/01  01:00:00,619.539928306601,656.6001681049452,1276.1400964115464,4594104.347081566,2183760.605177803,180000.0,0.0,69806.62318693068,2135484.153313265
 01/01  02:00:00,646.9534194774847,676.6928114724731,1323.646230949958,4765126.4314198475,2256094.121300903,180000.0,0.0,69806.62318693068,2234172.7215284463
 01/01  03:00:00,614.366910648368,322.3546457224042,936.7215563707722,3372197.60293478,980476.724600655,180000.0,0.0,69806.62318693068,2116861.2897436265
 01/01  04:00:00,611.7804018192516,393.4797201530172,1005.2601219722687,3618936.4391001677,1236526.9925508618,180000.0,0.0,69806.62318693068,2107549.857958807
 01/01  05:00:00,609.1938929901353,427.9377568237484,1037.1316498138835,3733673.939329981,1360575.9245654943,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/01  06:00:00,607.8323187834195,455.45754245143,1063.2898612348495,3827843.500445458,1459647.1528251478,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/01  07:00:00,1004.9400002003982,476.73808061946715,1481.6780808198655,5334041.090951515,1536257.0902300817,180000.0,0.0,284607.12496091414,3314114.836866501
 01/01  08:00:00,7692.007380185477,515.8028733054095,8207.810253490887,29548116.91256719,1676890.3438994745,180000.0,0.0,351157.04970301845,27321552.10975337
 01/01  09:00:00,4143.698723747635,475.8769192545685,4619.575643002204,16630472.314807935,1533156.9093164469,180000.0,0.0,672579.0266489264,14226763.599313913
 01/01  10:00:00,1151.4816679931469,413.79689232413693,1565.2785603172838,5635002.817142221,1309668.812366893,180000.0,0.0,692402.408487,3437681.965173113
 01/01  11:00:00,1142.4809480711995,344.12035433652744,1486.601302407727,5351764.688667817,1058833.2756114989,180000.0,0.0,672579.0266489264,3428370.533388294
 01/01  12:00:00,1018.9208955875447,645.0185078326471,1663.9394034201916,5990181.85231269,2142066.6281975294,180000.0,0.0,502664.32517972396,3157281.4536951426
 01/01  13:00:00,895.9868974542592,473.9095114899741,1369.8964089442334,4931627.072199239,1526074.2413639068,180000.0,0.0,348325.138011865,2870692.136631233
 01/01  14:00:00,895.0489692948593,380.14619473476483,1275.195164029624,4590702.590506647,1188526.3010451533,180000.0,0.0,345493.2263207117,2870692.136631233
 01/01  15:00:00,887.5369354858279,349.6700442066051,1237.2069796924332,4453945.126892759,1078812.1591437785,180000.0,0.0,352573.0055485951,2836569.0356908366
 01/01  16:00:00,914.1585576766525,375.9810674384146,1290.1396251150672,4644502.6504142415,1173531.8427782927,180000.0,0.0,385139.98999685893,2899295.261446855
 01/01  17:00:00,1135.852141803907,433.3591898178784,1569.2113316217856,5649160.7938384265,1380093.0833443622,180000.0,0.0,671871.0487261381,3406848.697796888
 01/01  18:00:00,1544.0077234208543,487.45154118781585,2031.45926460867,7313253.352591213,1574825.5482761373,180000.0,0.0,1156835.9258361536,4381440.5802195305
 01/01  19:00:00,2396.698441275803,518.874453766963,2915.5728950427656,10496062.422153957,1687948.0335610667,180000.0,0.0,1396132.4637386135,7205295.07040265
 01/01  20:00:00,1867.0189779785803,559.1178062862812,2426.1367842648615,8734092.4233535,1832824.1026306124,180000.0,0.0,1219137.9830415277,5466729.408306755
 01/01  21:00:00,1217.2298875729457,597.6377951617604,1814.8676827347062,6533523.657844942,1971496.0625823375,180000.0,0.0,865149.0216473558,3467317.272490799
 01/01  22:00:00,1427.5052104755496,621.2142653468806,2048.71947582243,7375390.112960748,2056371.3552487697,180000.0,0.0,461601.60565800004,4620231.035371921
 01/01  23:00:00,1022.0358912829461,637.0542446599823,1659.0901359429286,5972724.489394542,2113395.2807759363,180000.0,0.0,404963.3718349325,3224804.535659224
 01/01  24:00:00,624.6982995261804,656.163224249601,1280.8615237757813,4611101.485592812,2182187.6072985632,180000.0,0.0,69806.62318693068,2144795.5850980845
 01/02  01:00:00,619.539928306601,673.590004297454,1293.1299326040548,4655267.757374598,2244924.015470834,180000.0,0.0,69806.62318693068,2135484.153313265
 01/02  02:00:00,646.9534194774847,691.9851572686687,1338.9385767461533,4820178.876286153,2311146.5661672074,180000.0,0.0,69806.62318693068,2234172.7215284463
 01/02  03:00:00,614.366910648368,330.17533622735533,944.5422468757233,3400352.088752604,1008631.210418479,180000.0,0.0,69806.62318693068,2116861.2897436265
 01/02  04:00:00,611.7804018192516,396.28909063696096,1008.0694924562126,3629050.172842365,1246640.7262930598,180000.0,0.0,69806.62318693068,2107549.857958807
 01/02  05:00:00,609.1938929901353,419.4590384186408,1028.652931408776,3703150.5530715934,1330052.5383071066,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/02  06:00:00,607.8323187834195,437.0421553080785,1044.874474091498,3761548.106729393,1393351.7591090829,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/02  07:00:00,702.567548703911,448.85018432384567,1151.4177330277566,4145103.8388999244,1435860.6635658445,180000.0,0.0,177206.8740739224,2332974.2623661384
 01/02  08:00:00,865.4397148596422,450.9257462058391,1316.3654610654812,4738915.659835732,1443332.6863410205,180000.0,0.0,351157.04970301845,2745908.5145803606
 01/02  09:00:00,817.1849835374728,441.7761352869824,1258.9611188244553,4532260.027768039,1410394.087033137,180000.0,0.0,295686.97945255175,2628206.181753704
 01/02  10:00:00,818.4934890307635,426.6243999964367,1245.1178890272001,4482424.40049792,1355847.8399871723,180000.0,0.0,303120.74764182937,2628206.181753704
 01/02  11:00:00,747.2592402222557,402.6696624992805,1149.928902721536,4139744.04979753,1269610.7849974097,180000.0,0.0,220393.5273640114,2457757.8844170114
 01/02  12:00:00,614.8500615945806,776.2265787590272,1391.0766403536077,5007875.905272988,2614415.683532498,180000.0,0.0,69806.62318693068,2135484.153313265
 01/02  13:00:00,619.5692211839082,632.0795569404974,1251.6487781244055,4505935.60124786,2095486.4049857901,180000.0,0.0,69806.62318693068,2154107.0168829034
 01/02  14:00:00,619.4179351609397,554.6519684453885,1174.0699036063284,4226651.652982782,1816747.086403399,180000.0,0.0,69806.62318693068,2154107.0168829034
 01/02  15:00:00,619.4179351609397,529.1204756047823,1148.5384107657221,4134738.278756599,1724833.7121772163,180000.0,0.0,69806.62318693068,2154107.0168829034
 01/02  16:00:00,1025.2965982112512,524.246678884787,1549.5432770960383,5578355.797545738,1707288.0439852332,180000.0,0.0,464893.70299896586,3219638.4943693033
 01/02  17:00:00,1666.6407026618886,534.4326050121872,2201.0733076740757,7923863.907626673,1743957.378043874,180000.0,0.0,772049.9248006886,5217508.640811071
 01/02  18:00:00,1952.7186766962748,558.1463144796099,2510.864991175885,9039113.968233185,1829326.732126596,180000.0,0.0,1156835.9258361536,5852800.012011045
 01/02  19:00:00,1681.8193739497685,578.6120777046294,2260.431451654398,8137553.225955833,1903003.4797366662,180000.0,0.0,1396132.4637386135,4631730.428028926
 01/02  20:00:00,1885.6019463657724,597.1541555387996,2482.756101904572,8937921.96685646,1969754.9599396787,180000.0,0.0,1383388.8611284234,5369377.21641375
 01/02  21:00:00,1764.4799412570526,612.6850781102773,2377.16501936733,8557794.069722388,2025666.2811969987,180000.0,0.0,1129932.7647701963,5172633.722630743
 01/02  22:00:00,1259.4762553439064,626.6582892570184,1886.1345446009248,6790084.360563329,2075969.8413252658,180000.0,0.0,852405.4190371657,3624522.9835188393
 01/02  23:00:00,818.6820539012828,645.2615491731397,1463.9436030744223,5270196.971067919,2142941.577023302,180000.0,0.0,321174.1846729321,2576519.908247236
 01/02  24:00:00,624.6982995261804,655.1040477672782,1279.8023472934588,4607288.450256452,2178374.5719622015,180000.0,0.0,69806.62318693068,2144795.5850980845
 01/03  01:00:00,619.539928306601,656.9217277818756,1276.4616560884765,4595261.961918516,2184918.220014752,180000.0,0.0,69806.62318693068,2135484.153313265
 01/03  02:00:00,646.9534194774847,663.831763718922,1310.7851831964067,4718826.659507064,2209794.3493881193,180000.0,0.0,69806.62318693068,2234172.7215284463
 01/03  03:00:00,614.366910648368,306.17242815380104,920.5393388021691,3313941.6196878087,922220.7413536838,180000.0,0.0,69806.62318693068,2116861.2897436265
 01/03  04:00:00,611.7804018192516,379.3521437206391,991.1325455398908,3568077.1639436064,1185667.717394301,180000.0,0.0,69806.62318693068,2107549.857958807
 01/03  05:00:00,609.1938929901353,416.6271289929631,1025.8210219830985,3692955.679139154,1319857.6643746672,180000.0,0.0,69806.62318693068,2098238.4261739883
 01/03  06:00:00,708.829388674968,442.6896491378177,1151.5190378127857,4145468.5361260283,1413682.7368961438,180000.0,0.0,141453.98897311106,2390180.5119973817
 01/03  07:00:00,612.7027643957156,466.4728932894933,1079.175657685209,3885032.367666752,1499302.415842176,180000.0,0.0,69806.62318693068,2116861.2897436265
 01/03  08:00:00,617.7244960309802,479.95685773897605,1097.6813537699563,3951652.873571843,1547844.6878603138,180000.0,0.0,69806.62318693068,2135484.153313265
 01/03  09:00:00,882.860071770921,463.6307087033118,1346.490780474233,4847366.809707238,1489070.5513319226,180000.0,0.0,370980.43154109205,2789343.047305577
 01/03  10:00:00,884.8568891335892,424.88909042510494,1309.7459795586942,4715085.526411299,1349600.725530378,180000.0,0.0,380892.12246012886,2789343.047305577
 01/03  11:00:00,878.609416689152,373.0520092897825,1251.6614259789344,4505981.133524165,1162987.2334432171,180000.0,0.0,370980.43154109205,2780031.6155207576
